Player,Squad,Comp,Pos,primary_pos,Age,nineties,Fls,CrdY,CrdR,fouls_per90,card_rate_per90
Érik Lamela,Sevilla,La Liga,FWMF,FW,30,13.5,3.56,0.52,0.07,3.56,0.66
Gavi,Barcelona,La Liga,MFFW,MF,18,14.1,3.4,0.28,0.0,3.4,0.28
Óscar Trejo,Rayo Vallecano,La Liga,MFFW,MF,34,13.4,3.21,0.6,0.0,3.21,0.6
Alex Baena,Villarreal,La Liga,MFFW,MF,21,11.5,3.13,0.87,0.09,3.13,1.05
Óscar Valentín,Rayo Vallecano,La Liga,MF,MF,28,13.6,3.01,0.44,0.0,3.01,0.44
Mounaim El Idrissy,Ajaccio,Ligue 1,FW,FW,24,17.7,2.82,0.4,0.0,2.82,0.4
Fede San Emeterio,Cádiz,La Liga,MF,MF,25,10.8,2.78,0.46,0.0,2.78,0.46
Grejohn Kyei,Clermont Foot,Ligue 1,FW,FW,27,12.0,2.75,0.17,0.0,2.75,0.17
Mikel Merino,Real Sociedad,La Liga,MF,MF,26,14.3,2.73,0.28,0.0,2.73,0.28
Yeremi Pino,Villarreal,La Liga,MFFW,MF,20,12.4,2.66,0.24,0.0,2.66,0.24
Pathé Ciss,Rayo Vallecano,La Liga,MFDF,MF,28,10.2,2.65,0.39,0.0,2.65,0.39
Bonke Innocent,Lorient,Ligue 1,MF,MF,27,10.2,2.65,0.39,0.0,2.65,0.39
Brian Ocampo,Cádiz,La Liga,MFFW,MF,23,11.8,2.63,0.17,0.0,2.63,0.17
Vinicius Souza,Espanyol,La Liga,MF,MF,23,17.0,2.59,0.41,0.06,2.59,0.53
Christian Groß,Werder Bremen,Bundesliga,MF,MF,34,13.3,2.56,0.08,0.0,2.56,0.08
Lorenzo Colombo,Lecce,Serie A,FW,FW,20,11.0,2.55,0.36,0.0,2.55,0.36
Giorgio Scalvini,Atalanta,Serie A,DF,DF,19,13.7,2.55,0.36,0.0,2.55,0.36
Anthony Lozano,Cádiz,La Liga,FW,FW,29,12.7,2.52,0.24,0.0,2.52,0.24
Salis Abdul Samed,Lens,Ligue 1,MF,MF,22,20.0,2.45,0.15,0.0,2.45,0.15
Samu Costa,Almería,La Liga,MF,MF,22,12.7,2.44,0.24,0.0,2.44,0.24
Samu Castillejo,Valencia,La Liga,FW,FW,28,10.7,2.43,0.47,0.0,2.43,0.47
Jørgen Strand Larsen,Celta Vigo,La Liga,FW,FW,23,11.1,2.43,0.27,0.0,2.43,0.27
Alessandro Buongiorno,Torino,Serie A,DF,DF,23,15.7,2.42,0.38,0.0,2.42,0.38
Carles Aleñá,Getafe,La Liga,MF,MF,25,16.2,2.41,0.49,0.0,2.41,0.49
Mostafa Mohamed,Nantes,Ligue 1,FW,FW,25,13.4,2.39,0.0,0.0,2.39,0.0
Ryan Yates,Nott'ham Forest,Premier League,MF,MF,25,15.5,2.39,0.26,0.0,2.39,0.26
Evann Guessand,Nantes,Ligue 1,FWMF,FW,21,10.5,2.38,0.19,0.0,2.38,0.19
Thomas Henry,Hellas Verona,Serie A,FW,FW,28,11.4,2.37,0.35,0.0,2.37,0.35
Brais Méndez,Real Sociedad,La Liga,MF,MF,26,16.1,2.36,0.31,0.0,2.36,0.31
Roque Mesa,Valladolid,La Liga,MF,MF,33,11.9,2.35,0.42,0.0,2.35,0.42
M'Baye Niang,Auxerre,Ligue 1,FW,FW,28,11.5,2.35,0.17,0.17,2.35,0.51
Iddrisu Baba,Mallorca,La Liga,MF,MF,27,11.1,2.34,0.36,0.0,2.34,0.36
Kai Havertz,Chelsea,Premier League,FWMF,FW,23,17.7,2.32,0.17,0.0,2.32,0.17
Lucas Boyé,Elche,La Liga,FW,FW,26,13.5,2.3,0.22,0.07,2.3,0.36
Breel Embolo,Monaco,Ligue 1,FW,FW,25,17.1,2.28,0.12,0.0,2.28,0.12
Batista Mendy,Angers,Ligue 1,MFDF,MF,23,18.0,2.28,0.44,0.06,2.28,0.56
Mohamed Camara,Monaco,Ligue 1,MF,MF,23,15.4,2.27,0.26,0.06,2.27,0.38
Casemiro,Manchester Utd,Premier League,MF,MF,30,13.7,2.26,0.36,0.07,2.26,0.5
Federico Ceccherini,Hellas Verona,Serie A,DF,DF,30,11.5,2.26,0.61,0.09,2.26,0.79
Christoph Baumgartner,Hoffenheim,Bundesliga,MFFW,MF,23,17.8,2.25,0.22,0.0,2.25,0.22
Lucas Paquetá,West Ham,Premier League,MF,MF,25,12.0,2.25,0.25,0.0,2.25,0.25
Abdelhamid Sabiri,Sampdoria,Serie A,MFFW,MF,26,10.2,2.25,0.39,0.0,2.25,0.39
Hugo Mallo,Celta Vigo,La Liga,DF,DF,31,13.4,2.24,0.22,0.0,2.24,0.22
Isak Hien,Hellas Verona,Serie A,DF,DF,24,15.8,2.22,0.44,0.0,2.22,0.44
El Bilal Touré,Almería,La Liga,FW,FW,21,10.4,2.21,0.0,0.0,2.21,0.0
Rubén Sobrino,Cádiz,La Liga,FWMF,FW,30,13.1,2.21,0.38,0.0,2.21,0.38
Téji Savanier,Montpellier,Ligue 1,MF,MF,31,17.3,2.2,0.17,0.06,2.2,0.29
Simone Bastoni,Spezia,Serie A,MFDF,MF,26,10.5,2.19,0.38,0.0,2.19,0.38
Brecht Dejaegere,Toulouse,Ligue 1,MF,MF,31,13.3,2.18,0.38,0.0,2.18,0.38
Sofyan Amrabat,Fiorentina,Serie A,MF,MF,26,12.9,2.17,0.62,0.0,2.17,0.62
Karol Linetty,Torino,Serie A,MF,MF,28,13.8,2.17,0.43,0.0,2.17,0.43
Nicolás Domínguez,Bologna,Serie A,MF,MF,24,14.8,2.16,0.41,0.0,2.16,0.41
Monchu,Valladolid,La Liga,MF,MF,23,11.1,2.16,0.45,0.0,2.16,0.45
M'Bala Nzola,Spezia,Serie A,FW,FW,26,17.7,2.15,0.23,0.0,2.15,0.23
Iñigo Ruiz de Galarreta,Mallorca,La Liga,MF,MF,29,14.5,2.14,0.41,0.0,2.14,0.41
Stefan Bell,Mainz 05,Bundesliga,DF,DF,31,12.7,2.13,0.39,0.0,2.13,0.39
Mehdi Léris,Sampdoria,Serie A,MFDF,MF,24,15.1,2.12,0.66,0.0,2.12,0.66
Jordan Pefok,Union Berlin,Bundesliga,FW,FW,26,10.9,2.11,0.18,0.0,2.11,0.18
Lucas Torró,Osasuna,La Liga,MF,MF,28,16.7,2.1,0.36,0.0,2.1,0.36
Dani Rodríguez,Mallorca,La Liga,MF,MF,34,13.0,2.08,0.38,0.0,2.08,0.38
Nicolas Höfler,Freiburg,Bundesliga,MF,MF,32,18.4,2.07,0.33,0.0,2.07,0.33
Oriol Romeu,Girona,La Liga,MF,MF,31,17.0,2.06,0.29,0.0,2.06,0.29
Rani Khedira,Union Berlin,Bundesliga,MF,MF,29,18.5,2.05,0.32,0.0,2.05,0.32
Renaud Ripart,Troyes,Ligue 1,FWMF,FW,29,11.2,2.05,0.27,0.0,2.05,0.27
Moisés Caicedo,Brighton,Premier League,MF,MF,21,19.2,2.03,0.31,0.0,2.03,0.31
Sead Kolainac,Marseille,Ligue 1,DF,DF,29,11.9,2.02,0.08,0.0,2.02,0.08
Alexandre Lacazette,Lyon,Ligue 1,FW,FW,31,21.4,2.01,0.09,0.0,2.01,0.09
Léo Baptistão,Almería,La Liga,FWMF,FW,30,10.5,2.0,0.48,0.0,2.0,0.48
Ludovic Blas,Nantes,Ligue 1,MFFW,MF,25,18.5,2.0,0.11,0.0,2.0,0.11
Gerard Gumbau,Elche,La Liga,MF,MF,28,14.0,2.0,0.43,0.0,2.0,0.43
Samuel Gigot,Marseille,Ligue 1,DF,DF,29,14.1,1.99,0.28,0.14,1.99,0.56
Jeffrey Schlupp,Crystal Palace,Premier League,MF,MF,30,18.1,1.99,0.28,0.0,1.99,0.28
Filippo Bandinelli,Empoli,Serie A,MF,MF,27,16.7,1.98,0.24,0.0,1.98,0.24
Ermedin Demirovi?,Augsburg,Bundesliga,FWMF,FW,24,16.7,1.98,0.3,0.0,1.98,0.3
Hugo Guillamón,Valencia,La Liga,MF,MF,23,12.7,1.97,0.39,0.0,1.97,0.39
Joelinton,Newcastle Utd,Premier League,MFFW,MF,26,18.8,1.97,0.48,0.0,1.97,0.48
Rubén Alcaraz,Cádiz,La Liga,MF,MF,31,11.2,1.96,0.54,0.09,1.96,0.72
Morten Hjulmand,Lecce,Serie A,MF,MF,23,19.0,1.95,0.32,0.05,1.95,0.42
Saa Luki?,Torino,Serie A,MF,MF,26,13.3,1.95,0.3,0.0,1.95,0.3
Santi Comesaña,Rayo Vallecano,La Liga,MF,MF,26,12.4,1.94,0.16,0.0,1.94,0.16
Cyriel Dessers,Cremonese,Serie A,FW,FW,28,13.4,1.94,0.15,0.0,1.94,0.15
Angel Gomes,Lille,Ligue 1,MF,MF,22,18.6,1.94,0.22,0.0,1.94,0.22
Iglesias,Getafe,La Liga,DF,DF,24,15.0,1.93,0.2,0.0,1.93,0.2
Álex Berenguer,Athletic Club,La Liga,FW,FW,27,15.2,1.91,0.0,0.0,1.91,0.0
Alexander Hack,Mainz 05,Bundesliga,DF,DF,29,12.1,1.9,0.17,0.08,1.9,0.33
Deiver Machado,Lens,Ligue 1,DFMF,DF,29,15.3,1.9,0.2,0.07,1.9,0.34
Vedat Muriqi,Mallorca,La Liga,FW,FW,28,18.4,1.9,0.22,0.05,1.9,0.32
Copete,Mallorca,La Liga,DF,DF,23,14.3,1.89,0.35,0.0,1.89,0.35
Gabriel Strefezza,Lecce,Serie A,FWMF,FW,25,15.9,1.89,0.19,0.0,1.89,0.19
Lewis Ferguson,Bologna,Serie A,MF,MF,23,11.2,1.88,0.27,0.0,1.88,0.27
Daichi Kamada,Eint Frankfurt,Bundesliga,MFFW,MF,26,13.3,1.88,0.15,0.0,1.88,0.15
Marshall Munetsi,Reims,Ligue 1,MF,MF,26,16.0,1.88,0.25,0.0,1.88,0.25
Jordan Ayew,Crystal Palace,Premier League,FWMF,FW,31,16.6,1.87,0.06,0.0,1.87,0.06
Ilia Gruev,Werder Bremen,Bundesliga,MF,MF,22,10.7,1.87,0.09,0.0,1.87,0.09
Karim Onisiwo,Mainz 05,Bundesliga,FWMF,FW,30,19.3,1.87,0.16,0.0,1.87,0.16
Rolando Mandragora,Fiorentina,Serie A,MF,MF,25,10.2,1.86,0.49,0.0,1.86,0.49
Vinicius Júnior,Real Madrid,La Liga,FW,FW,22,19.5,1.85,0.26,0.0,1.85,0.26
Kouadio Koné,M'Gladbach,Bundesliga,MF,MF,21,17.3,1.85,0.4,0.0,1.85,0.4
Gerzino Nyamsi,Strasbourg,Ligue 1,DF,DF,26,10.8,1.85,0.28,0.09,1.85,0.46
Wilfried Singo,Torino,Serie A,DF,DF,22,11.9,1.85,0.25,0.0,1.85,0.25
Federico Di Francesco,Lecce,Serie A,FWMF,FW,28,12.5,1.84,0.24,0.0,1.84,0.24
Tomás Rincón,Sampdoria,Serie A,MF,MF,35,14.7,1.84,0.2,0.07,1.84,0.34
Abdallah Sima,Angers,Ligue 1,FW,FW,21,10.3,1.84,0.0,0.0,1.84,0.0
Mattia Zaccagni,Lazio,Serie A,FWMF,FW,27,17.9,1.84,0.28,0.0,1.84,0.28
Leandro Barreiro Martins,Mainz 05,Bundesliga,MF,MF,23,12.0,1.83,0.25,0.0,1.83,0.25
David García,Osasuna,La Liga,DF,DF,28,17.5,1.83,0.34,0.06,1.83,0.46
Dennis Geiger,Hoffenheim,Bundesliga,MF,MF,24,13.1,1.83,0.38,0.0,1.83,0.38
Luka Lochoshvili,Cremonese,Serie A,DF,DF,24,12.6,1.83,0.24,0.0,1.83,0.24
Largie Ramazani,Almería,La Liga,FWMF,FW,21,11.5,1.83,0.35,0.0,1.83,0.35
Isaac Success,Udinese,Serie A,FW,FW,27,14.2,1.83,0.21,0.0,1.83,0.21
Simon Terodde,Schalke 04,Bundesliga,FW,FW,34,14.2,1.83,0.28,0.0,1.83,0.28
Gabriel Veiga,Celta Vigo,La Liga,MF,MF,20,11.5,1.83,0.26,0.09,1.83,0.44
Hakan Çalhanoðlu,Inter,Serie A,MF,MF,29,17.0,1.82,0.12,0.0,1.82,0.12
Ismael Diallo,Ajaccio,Ligue 1,DF,DF,26,17.0,1.82,0.29,0.06,1.82,0.41
Azor Matusiwa,Reims,Ligue 1,MF,MF,24,14.8,1.82,0.14,0.0,1.82,0.14
Amadou Onana,Everton,Premier League,MF,MF,21,16.5,1.82,0.36,0.0,1.82,0.36
Kike Pérez,Valladolid,La Liga,MF,MF,25,14.9,1.81,0.27,0.0,1.81,0.27
Moussa Sissoko,Nantes,Ligue 1,MF,MF,33,12.7,1.81,0.24,0.0,1.81,0.24
Enzo Roco,Elche,La Liga,DF,DF,30,12.8,1.8,0.23,0.0,1.8,0.23
Damián Suárez,Getafe,La Liga,DF,DF,34,10.0,1.8,0.2,0.0,1.8,0.2
Jérémy Le Douaron,Brest,Ligue 1,FWMF,FW,24,10.6,1.79,0.09,0.0,1.79,0.09
Leonardo Sernicola,Cremonese,Serie A,DF,DF,25,15.1,1.79,0.33,0.0,1.79,0.33
Robert Andrich,Leverkusen,Bundesliga,MF,MF,28,15.7,1.78,0.32,0.0,1.78,0.32
Ismaël Bennacer,Milan,Serie A,MF,MF,25,15.7,1.78,0.32,0.0,1.78,0.32
Manolo Gabbiadini,Sampdoria,Serie A,FWMF,FW,31,11.8,1.78,0.34,0.0,1.78,0.34
Gabriel Jesus,Arsenal,Premier League,FW,FW,25,13.5,1.78,0.3,0.0,1.78,0.3
Pierre Lees-Melou,Brest,Ligue 1,MF,MF,29,15.7,1.78,0.38,0.06,1.78,0.5
Mohamed Youssouf,Ajaccio,Ligue 1,DF,DF,34,17.4,1.78,0.17,0.0,1.78,0.17
Che Adams,Southampton,Premier League,FW,FW,26,17.5,1.77,0.0,0.0,1.77,0.0
Óscar Gil,Espanyol,La Liga,DF,DF,25,14.1,1.77,0.35,0.0,1.77,0.35
Borja Iglesias,Betis,La Liga,FW,FW,30,16.4,1.77,0.0,0.06,1.77,0.12
Kieffer Moore,Bournemouth,Premier League,FW,FW,30,12.4,1.77,0.0,0.0,1.77,0.0
Aimar Oroz,Osasuna,La Liga,MFFW,MF,21,10.8,1.76,0.28,0.0,1.76,0.28
Grischa Prömel,Hoffenheim,Bundesliga,MF,MF,28,11.9,1.76,0.25,0.0,1.76,0.25
Milan kriniar,Inter,Serie A,DF,DF,28,18.7,1.76,0.27,0.05,1.76,0.37
Ivan Toney,Brentford,Premier League,FW,FW,26,19.9,1.76,0.4,0.0,1.76,0.4
Randal Kolo Muani,Eint Frankfurt,Bundesliga,FW,FW,24,16.0,1.75,0.19,0.06,1.75,0.31
Tyler Adams,Leeds United,Premier League,MF,MF,23,19.0,1.74,0.26,0.05,1.74,0.36
Benjamin André,Lille,Ligue 1,MF,MF,32,19.5,1.74,0.26,0.0,1.74,0.26
Ryan Christie,Bournemouth,Premier League,MFFW,MF,27,11.5,1.74,0.09,0.0,1.74,0.09
Hirving Lozano,Napoli,Serie A,FW,FW,27,10.9,1.74,0.18,0.0,1.74,0.18
Reinildo Mandava,Atlético Madrid,La Liga,DF,DF,29,18.4,1.74,0.16,0.0,1.74,0.16
Kiliann Sildillia,Freiburg,Bundesliga,DFMF,DF,20,16.1,1.74,0.25,0.06,1.74,0.37
Mergim Berisha,Augsburg,Bundesliga,FW,FW,24,12.7,1.73,0.63,0.08,1.73,0.79
Ozan Kabak,Hoffenheim,Bundesliga,DF,DF,22,17.3,1.73,0.4,0.06,1.73,0.52
Perr Schuurs,Torino,Serie A,DF,DF,23,13.3,1.73,0.3,0.0,1.73,0.3
Kelvin Amian,Spezia,Serie A,DF,DF,25,11.7,1.71,0.26,0.0,1.71,0.26
Álvaro Morata,Atlético Madrid,La Liga,FW,FW,30,12.9,1.71,0.23,0.0,1.71,0.23
Wilfred Ndidi,Leicester City,Premier League,MFDF,MF,26,10.0,1.7,0.3,0.0,1.7,0.3
Kevin Lasagna,Hellas Verona,Serie A,FWMF,FW,30,12.4,1.69,0.08,0.0,1.69,0.08
Nikola Milenkovi?,Fiorentina,Serie A,DF,DF,25,14.3,1.68,0.14,0.0,1.68,0.14
Yunus Musah,Valencia,La Liga,MF,MF,20,15.5,1.68,0.45,0.0,1.68,0.45
Luke Shaw,Manchester Utd,Premier League,DF,DF,27,16.7,1.68,0.24,0.0,1.68,0.24
Dodô,Fiorentina,Serie A,DF,DF,24,13.2,1.67,0.38,0.08,1.67,0.54
Christian Kouamé,Fiorentina,Serie A,FW,FW,25,15.0,1.67,0.2,0.0,1.67,0.2
Lautaro Martínez,Inter,Serie A,FW,FW,25,18.6,1.67,0.05,0.0,1.67,0.05
Matheus Nunes,Wolves,Premier League,MF,MF,24,15.6,1.67,0.06,0.0,1.67,0.06
Victor Osimhen,Napoli,Serie A,FW,FW,24,15.6,1.67,0.13,0.0,1.67,0.13
Matías Vecino,Lazio,Serie A,MF,MF,31,10.8,1.67,0.19,0.0,1.67,0.19
Maxence Caqueret,Lyon,Ligue 1,MF,MF,22,16.3,1.66,0.12,0.0,1.66,0.12
Lassana Coulibaly,Salernitana,Serie A,MF,MF,26,17.5,1.66,0.34,0.0,1.66,0.34
Marcos Acuña,Sevilla,La Liga,DF,DF,31,10.9,1.65,0.46,0.09,1.65,0.64
Assan Ceesay,Lecce,Serie A,FW,FW,28,10.3,1.65,0.1,0.0,1.65,0.1
Cristian Romero,Tottenham,Premier League,DF,DF,24,13.3,1.65,0.53,0.08,1.65,0.69
Beto,Udinese,Serie A,FW,FW,25,13.4,1.64,0.07,0.0,1.64,0.07
Anthony Gordon,Everton,Premier League,FW,FW,21,12.2,1.64,0.49,0.0,1.64,0.49
Rominigue Kouamé,Troyes,Ligue 1,MF,MF,26,18.9,1.64,0.21,0.0,1.64,0.21
Riccardo Orsolini,Bologna,Serie A,FW,FW,26,12.8,1.64,0.23,0.08,1.64,0.39
Islam Slimani,Brest,Ligue 1,FW,FW,34,11.0,1.64,0.45,0.0,1.64,0.45
Igor Zubeldia,Real Sociedad,La Liga,DF,DF,25,14.0,1.64,0.36,0.0,1.64,0.36
Kevin Agudelo,Spezia,Serie A,MFFW,MF,24,16.0,1.63,0.13,0.0,1.63,0.13
Gianluca Caprari,Monza,Serie A,MFFW,MF,29,14.7,1.63,0.27,0.0,1.63,0.27
Gideon Mensah,Auxerre,Ligue 1,DF,DF,24,12.9,1.63,0.39,0.0,1.63,0.39
Helibelton Palacios,Elche,La Liga,DF,DF,29,12.9,1.63,0.31,0.0,1.63,0.31
Nélson Semedo,Wolves,Premier League,DF,DF,29,14.1,1.63,0.35,0.07,1.63,0.49
Martín Zubimendi,Real Sociedad,La Liga,MF,MF,24,17.8,1.63,0.34,0.0,1.63,0.34
Lameck Banda,Lecce,Serie A,FWMF,FW,22,11.7,1.62,0.26,0.0,1.62,0.26
Emi Buendía,Aston Villa,Premier League,MFFW,MF,26,13.6,1.62,0.0,0.0,1.62,0.0
Thierry Correia,Valencia,La Liga,DF,DF,23,15.4,1.62,0.19,0.0,1.62,0.19
Jean-Kevin Duverne,Brest,Ligue 1,DF,DF,25,15.4,1.62,0.06,0.0,1.62,0.06
Valentin Rongier,Marseille,Ligue 1,MF,MF,28,19.7,1.62,0.25,0.0,1.62,0.25
Jackson Porozo,Troyes,Ligue 1,DF,DF,22,13.7,1.61,0.22,0.0,1.61,0.22
Rodri,Manchester City,Premier League,MF,MF,26,19.3,1.61,0.16,0.0,1.61,0.16
Kerem Demirbay,Leverkusen,Bundesliga,MF,MF,29,10.0,1.6,0.2,0.0,1.6,0.2
Philipp Hofmann,Bochum,Bundesliga,FW,FW,29,16.2,1.6,0.06,0.0,1.6,0.06
Manuel Locatelli,Juventus,Serie A,MF,MF,25,15.6,1.6,0.26,0.0,1.6,0.26
Nuno Mendes,Paris S-G,Ligue 1,DFMF,DF,20,10.0,1.6,0.2,0.0,1.6,0.2
Aleksandar Mitrovi?,Fulham,Premier League,FW,FW,28,18.1,1.6,0.28,0.0,1.6,0.28
Ethan Ampadu,Spezia,Serie A,DFMF,DF,22,15.1,1.59,0.33,0.0,1.59,0.33
Ismaël Doukouré,Strasbourg,Ligue 1,DF,DF,19,11.3,1.59,0.27,0.0,1.59,0.27
Solly March,Brighton,Premier League,FWDF,FW,28,20.1,1.59,0.1,0.0,1.59,0.1
Stijn Spierings,Toulouse,Ligue 1,MF,MF,26,22.0,1.59,0.09,0.0,1.59,0.09
Boubacar Kamara,Aston Villa,Premier League,MF,MF,23,13.3,1.58,0.23,0.0,1.58,0.23
Silas Katompa,Stuttgart,Bundesliga,FWDF,FW,24,13.3,1.58,0.15,0.0,1.58,0.15
Johann Lepenant,Lyon,Ligue 1,MF,MF,20,13.3,1.58,0.08,0.0,1.58,0.08
Mathias Pereira Lage,Brest,Ligue 1,MFFW,MF,26,12.0,1.58,0.17,0.0,1.58,0.17
Issiaga Sylla,Toulouse,Ligue 1,DF,DF,29,15.2,1.58,0.2,0.0,1.58,0.2
Domenico Berardi,Sassuolo,Serie A,FW,FW,28,10.2,1.57,0.39,0.0,1.57,0.39
Thijs Dallinga,Toulouse,Ligue 1,FW,FW,22,13.4,1.57,0.3,0.0,1.57,0.3
Youssouf Fofana,Monaco,Ligue 1,MF,MF,24,20.4,1.57,0.1,0.05,1.57,0.2
Joan Gonzàlez,Lecce,Serie A,MF,MF,21,17.8,1.57,0.28,0.0,1.57,0.28
